Brand,Product Name,Price,Image URL,Product URL
Vivo,Niari straight leg Pants - Maroon,"3,950",https://shopzetu.com/cdn/shop/files/4303_e1ed6b0d-ec9d-4f81-96a8-bb6e02af9b17_{width}x.jpg?v=1746732820,https://shopzetu.com/collections/vivo-bottoms/products/vivo-straight-leg-pants-sample-copy
Vivo,Niari Shorts - Light Olive / White Stripes,"4,950",https://shopzetu.com/cdn/shop/files/D6A0382_4e6325f8-2cf4-43a9-9818-0bf78100df00_{width}x.jpg?v=1748286176,https://shopzetu.com/collections/vivo-bottoms/products/vivo-niari-shorts-sample-copy
Vivo,Ayah Drawstring Pants -  Rust / Navy Yaa Print,"4,550",https://shopzetu.com/cdn/shop/files/ETU1530_3b0517c5-069c-47e6-be43-fe5b0ab48266_{width}x.jpg?v=1743532886,https://shopzetu.com/collections/vivo-bottoms/products/vivo-ayah-drawstring-pants-white-yana-print
Vivo,Ayah Drawstring Pants - Purple,"4,550",https://shopzetu.com/cdn/shop/files/ETU0644_{width}x.jpg?v=1745401134,https://shopzetu.com/collections/vivo-bottoms/products/vivo-ayah-drawstring-pants-purple
Vivo,Ayah Drawstring Pants - Lilac,"4,550",https://shopzetu.com/cdn/shop/files/ETU0219_ac082759-ea5e-45bf-98fc-9c05779e4e7c_{width}x.jpg?v=1745401152,https://shopzetu.com/collections/vivo-bottoms/products/vivo-ayah-drawstring-pants-lilac
Vivo,Tahisa Straight Leg Pants - Orange,"3,950",https://shopzetu.com/cdn/shop/files/0293_{width}x.jpg?v=1745460849,https://shopzetu.com/collections/vivo-bottoms/products/vivo-tahisa-straight-leg-pants-orange-1
Vivo,Tahisa Straight Leg Pants -Dark Brown,"3,950",https://shopzetu.com/cdn/shop/files/00632_{width}x.jpg?v=1745460849,https://shopzetu.com/collections/vivo-bottoms/products/vivo-tahisa-straight-leg-pants-dark-brown
Vivo,Tahisa Straight Leg Pants -Light Olive,"3,950",https://shopzetu.com/cdn/shop/files/00972_{width}x.jpg?v=1745460850,https://shopzetu.com/collections/vivo-bottoms/products/vivo-tahisa-straight-leg-pants-light-olive
Vivo,Tahisa Straight Leg Pants -Dark Green,"3,950",https://shopzetu.com/cdn/shop/files/00402_{width}x.jpg?v=1745460850,https://shopzetu.com/collections/vivo-bottoms/products/vivo-tahisa-straight-leg-pants-rust
Vivo,Tahisa Straight Leg Pants -Midnight Blue,"3,950",https://shopzetu.com/cdn/shop/files/00411_{width}x.jpg?v=1745460854,https://shopzetu.com/collections/vivo-bottoms/products/vivo-tahisa-straight-leg-pants-midnight-blue
Vivo,Tahisa Straight Leg Pants - Rust,"3,950",https://shopzetu.com/cdn/shop/files/01322_{width}x.jpg?v=1745460855,https://shopzetu.com/collections/vivo-bottoms/products/vivo-tahisa-straight-leg-pants-orange
Vivo,Tahisa Straight Leg Pants - Dark Olive,"3,950",https://shopzetu.com/cdn/shop/files/00061_{width}x.jpg?v=1745460855,https://shopzetu.com/collections/vivo-bottoms/products/vivo-tahisa-straight-leg-pants-dark-olive
Vivo,Ayah 3/4 Sleeve Jumpsuit - Navy,"5,950",https://shopzetu.com/cdn/shop/files/ETU1905_c688ec5e-86cf-4e65-b2cd-cc27f39d3c82_{width}x.jpg?v=1744190871,https://shopzetu.com/collections/vivo-bottoms/products/vivo-ayah-3-4-sleeve-jumpsuit-dark-red-copy
Vivo,Ayah 3/4 Sleeve Jumpsuit - Dark Red,"5,950",https://shopzetu.com/cdn/shop/files/ETU1848_34832ae5-3d8b-46ab-af59-8052bd198260_{width}x.jpg?v=1744190877,https://shopzetu.com/collections/vivo-bottoms/products/vivo-ayah-3-4-sleeve-jumpsuit-orange-grey-tullu-print-copy
Vivo,Ayah 3/4 Sleeve Jumpsuit - Orange / Grey Tullu Print,"5,950",https://shopzetu.com/cdn/shop/files/ETU0735_1fc40cbb-0137-4499-a656-5e6df0667d61_{width}x.jpg?v=1744190877,https://shopzetu.com/collections/vivo-bottoms/products/vivo-ayah-3-4-sleeve-jumpsuit-sample-copy
Vivo,Ayah Satin Pants - Lilac / Black Ullu Print,"3,950",https://shopzetu.com/cdn/shop/files/ETU0947_fc602679-3b66-42a8-aa09-f89989ebe781_{width}x.jpg?v=1743757359,https://shopzetu.com/collections/vivo-bottoms/products/vivo-ayah-satin-pants-orange-black-ullu-print-copy
Vivo,Ayah Satin Pants - Orange / Black Ullu Print,"3,950",https://shopzetu.com/cdn/shop/files/ETU0764_a1a01f3a-65a5-4e36-b3ed-4b97d52a8131_{width}x.jpg?v=1743257109,https://shopzetu.com/collections/vivo-bottoms/products/vivo-ayah-satin-pants-mustard-black-ullu-print-copy
Vivo,Ayah Satin Pants - Mustard / Black Ullu Print,"3,950",https://shopzetu.com/cdn/shop/files/ETU1424_b2a7e44e-c27a-4bff-97aa-abce568c3bd7_{width}x.jpg?v=1743257123,https://shopzetu.com/collections/vivo-bottoms/products/vivo-ayah-satin-pants-lilac-navy-tullu-print-copy
Vivo,Ayah Satin Pants - Lilac / Navy Tullu Print,"3,950",https://shopzetu.com/cdn/shop/files/ETU0604_77f42aa8-9122-48c5-9a3f-2203c3e167e7_{width}x.jpg?v=1744399099,https://shopzetu.com/collections/vivo-bottoms/products/vivo-ayah-satin-pants-dark-red-copy
Vivo,Ayah Satin Pants - Dark Red,"3,950",https://shopzetu.com/cdn/shop/files/ETU0558_1688746a-cee7-4f7d-9e9f-4f271e3a73aa_{width}x.jpg?v=1744087169,https://shopzetu.com/collections/vivo-bottoms/products/vivo-ayah-satin-pants-dark-purple-copy
Vivo,Ayah Satin Pants - Dark Purple,"3,950",https://shopzetu.com/cdn/shop/files/ETU1203_ebb405bf-6313-430d-8d54-c53ad701a248_{width}x.jpg?v=1743532897,https://shopzetu.com/collections/vivo-bottoms/products/vivo-ayah-satin-pants-sample-copy
